,,,,,,,,,
LEL-MAG-HCOR04-TS,I 1.08,HOLDING REGISTER  Registro 1 offset bit 8,,LEL-VAC-VALVP03 - AIR PRESSURE,I 1.08,HOLDING REGISTER  Registro 1 offset bit 8,,,
LEL-MAG-VCOR04-TS,I 1.09,HOLDING REGISTER  Registro 1 offset bit 9,,LEL-VAC-VALVP03 - CONTINUITY,I 1.09,HOLDING REGISTER  Registro 1 offset bit 9,,,
LEL-MAG-HCOR05-TS,I 1.10,HOLDING REGISTER  Registro 1 offset bit 10,,LEL-VAC-VALVP03 - CLOSED,I 1.10,HOLDING REGISTER  Registro 1 offset bit 10,,,
LEL-MAG-VCOR05-TS,I 1.11,HOLDING REGISTER  Registro 1 offset bit 11,,LEL-VAC-VALVP03 - OPEN,I 1.11,HOLDING REGISTER  Registro 1 offset bit 11,,,
M2_SCU_2,I 1.12,HOLDING REGISTER  Registro 1 offset bit 12,,---SPARE---,I 1.12,HOLDING REGISTER  Registro 1 offset bit 12,,,
M2_SCU_3,I 1.13,HOLDING REGISTER  Registro 1 offset bit 13,,LEL-VAC-VGCON03 - SET8,I 1.13,HOLDING REGISTER  Registro 1 offset bit 13,,,
M2_SCU_4,I 1.14,HOLDING REGISTER  Registro 1 offset bit 14,,P.S. REDONDANCE - MODULEFAULT,I 1.14,HOLDING REGISTER  Registro 1 offset bit 14,,,
M2_SCU_5,I 1.15,HOLDING REGISTER  Registro 1 offset bit 15,,---SPARE---,I 1.15,HOLDING REGISTER  Registro 1 offset bit 15,,,
LEL-MAG-SPSU01_Ext1,O 2.00,HOLDING REGISTER  Registro 2 offset bit 0,,LEL-VAC-VALVP01 - SOLENOID,O 2.00,HOLDING REGISTER  Registro 2 offset bit 0,,,
LEL-MAG-SPSU01_Ext2,O 2.01,HOLDING REGISTER  Registro 2 offset bit 1,,LEL-VAC-VALVF02 - SOLENOID OPEN,O 2.01,HOLDING REGISTER  Registro 2 offset bit 1,,,
LEL-MAG-SPSU02_Ext1,O 2.02,HOLDING REGISTER  Registro 2 offset bit 2,,LEL-VAC-VALVF02 - SOLENOID CLOSE,O 2.02,HOLDING REGISTER  Registro 2 offset bit 2,,,
LEL-MAG-SPSU02_Ext2,O 2.03,HOLDING REGISTER  Registro 2 offset bit 3,,LEL-VAC-VALVF02 - REARM GAUGE,O 2.03,HOLDING REGISTER  Registro 2 offset bit 3,,,
LEL-MAG-CPSU01_Ext,O 2.04,HOLDING REGISTER  Registro 2 offset bit 4,,LEL-VAC-VALVP03 - SOLENOID,O 2.04,HOLDING REGISTER  Registro 2 offset bit 4,,,
LEL-MAG-CPSU02_Ext,O 2.05,HOLDING REGISTER  Registro 2 offset bit 5,,---SPARE---,O 2.05,HOLDING REGISTER  Registro 2 offset bit 5,,,
LEL-MAG-CPSU03_Ext,O 2.06,HOLDING REGISTER  Registro 2 offset bit 6,,---SPARE---,O 2.06,HOLDING REGISTER  Registro 2 offset bit 6,,,
LEL-DMP-BDUMP01-TS,O 2.07,HOLDING REGISTER  Registro 2 offset bit 7,,---SPARE---,O 2.07,HOLDING REGISTER  Registro 2 offset bit 7,,,
LEL-MAG-SPSU02_Ext1,O 3.00,HOLDING REGISTER  Registro 3 offset bit 0,,LEL-VAC-VALVP01 - MPSA,I 3.00,HOLDING REGISTER  Registro 3 offset bit 0,,,
LEL-MAG-SPSU02_Ext2,O 3.01,HOLDING REGISTER  Registro 3 offset bit 1,,LEL-VAC-VALVP01 - MPSB,I 3.01,HOLDING REGISTER  Registro 3 offset bit 1,,,
LEL-MAG-SPSU03_Ext1,O 3.02,HOLDING REGISTER  Registro 3 offset bit 2,,LEL-VAC-VALVP03 - MPSA,I 3.02,HOLDING REGISTER  Registro 3 offset bit 2,,,
LEL-MAG-SPSU03_Ext2,O 3.03,HOLDING REGISTER  Registro 3 offset bit 3,,LEL-VAC-VALVP03 - MPSB,I 3.03,HOLDING REGISTER  Registro 3 offset bit 3,,,
